,Company,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Base Model,Car Age,Age Segment,Price Segment,Engine CC,Max Power,Fuel_Diesel,Fuel_Hybrid,Fuel_LPG,Fuel_Petrol,Fuel_Petrol+CNG
14,Maruti Suzuki,Celerio ZXi AMT [2019-2020],569000,2016,11471,2,Bangalore,Red,1,Individual,90.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,Celerio Zxi,9,7–10 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
15,Maruti Suzuki,Alto 800 LXi (O),449000,2019,3583,1,Bangalore,Grey,1,Individual,69.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,Alto 800,6,4–6 yrs,Low to Mid Range,796,47.0,0,0,0,1,0
16,Maruti Suzuki,Baleno Alpha Automatic,894999,2018,21365,2,Bangalore,Grey,1,Individual,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,Baleno Alpha,7,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
17,Maruti Suzuki,Wagon R ZXi 1.2 AMT,699000,2020,30777,2,Bangalore,White,1,Individual,113.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,Wagon R,5,4–6 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
18,Hyundai,Creta 1.6 E Petrol,740000,2016,60125,1,Delhi,Silver,1,Individual,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta 1.6,9,7–10 yrs,Low to Mid Range,1591,122.0,0,0,0,1,0
19,Maruti Suzuki,S-Presso VXi AMT,470000,2020,2169,2,Mumbai,Grey,1,Individual,90.0,FWD,3565.0,1520.0,1564.0,5.0,27.0,S-Presso Vxi,5,4–6 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
20,Volkswagen,Vento Comfortline Petrol AT,765000,2015,60240,2,Bangalore,Brown,1,Individual,153.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,Vento Comfortline,10,7–10 yrs,Low to Mid Range,1197,103.0,0,0,0,1,0
21,Hyundai,Santro Sportz AMT [2018-2020],589000,2018,13772,2,Bangalore,White,1,Individual,99.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,Santro Sportz,7,7–10 yrs,Low to Mid Range,1086,68.0,0,0,0,1,0
22,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],999000,2019,27464,1,Bangalore,Blue,1,Individual,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,Venue Sx,6,4–6 yrs,Low to Mid Range,998,118.0,0,0,0,1,0
23,Maruti Suzuki,Alto LXi CNG,370000,2019,47377,1,Delhi,Grey,1,Individual,78.0,FWD,3545.0,1490.0,1475.0,4.0,60.0,Alto Lxi,6,4–6 yrs,Low to Mid Range,998,58.0,0,0,0,0,0
24,Maruti Suzuki,Ritz Zxi BS-IV,325000,2013,23086,1,Mumbai,Grey,1,Individual,113.0,FWD,3775.0,1680.0,1620.0,5.0,43.0,Ritz Zxi,12,11–15 yrs,Low to Mid Range,1197,85.0,0,0,0,1,0
25,Hyundai,Creta 1.6 SX Plus Petrol,1175000,2019,36313,1,Mumbai,Grey,1,Individual,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta 1.6,6,4–6 yrs,Low to Mid Range,1591,122.0,0,0,0,1,0
26,Honda,Brio V MT,351000,2014,39276,1,Mumbai,Red,1,Individual,109.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,Brio V,11,11–15 yrs,Low to Mid Range,1198,87.0,0,0,0,1,0
27,Hyundai,Elite i20 Asta 1.2,551000,2015,47752,1,Mumbai,White,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,10,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
28,Honda,WR-V VX MT Petrol,819999,2018,27963,1,Delhi,White,1,Individual,110.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,Wr-V Vx,7,7–10 yrs,Low to Mid Range,1199,89.0,0,0,0,1,0
29,Hyundai,Venue SX 1.0 Turbo iMT,990000,2020,24013,1,Mumbai,Blue,1,Individual,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,Venue Sx,5,4–6 yrs,Low to Mid Range,998,118.0,0,0,0,1,0
30,Hyundai,Creta 1.6 SX Plus AT,925000,2016,66000,2,Raipur,Black,1,Individual,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta 1.6,9,7–10 yrs,Low to Mid Range,1582,126.0,1,0,0,0,0
31,Ford,Ecosport Titanium+ 1.0L EcoBoost,535000,2015,28000,1,Mumbai,Silver,1,Individual,170.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,Ecosport Titanium+,10,7–10 yrs,Low to Mid Range,999,124.0,0,0,0,1,0
32,Hyundai,Santro GL (CNG),145000,2009,72000,1,Kanpur,Silver,2,Individual,96.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,Santro Gl,16,15+ yrs,Low to Mid Range,1086,62.0,0,0,0,0,0
33,Tata,Tiago Revotron XE [2016-2019],409000,2018,27069,1,Mumbai,White,1,Individual,114.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,Tiago Revotron,7,7–10 yrs,Low to Mid Range,1199,84.0,0,0,0,1,0
34,Tata,Tigor Revotorq XT,490000,2018,43000,1,Patna,White,1,Individual,140.0,FWD,3992.0,1677.0,1537.0,5.0,35.0,Tigor Revotorq,7,7–10 yrs,Low to Mid Range,1047,69.0,1,0,0,0,0
35,Toyota,Innova 2.4 G 8 STR [2016-2017],1900000,2019,71000,1,Mumbai,Bronze,1,Individual,343.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,Innova 2.4,6,4–6 yrs,Low to Mid Range,2393,148.0,1,0,0,0,0
36,Mercedes-Benz,GLC 220 d Progressive,3850000,2017,45600,2,Mumbai,Black,2,Individual,400.0,AWD,4656.0,1890.0,1639.0,5.0,66.0,Glc 220,8,7–10 yrs,Low to Mid Range,2143,168.0,1,0,0,0,0
37,Hyundai,Creta SX 1.6 CRDi (O),1125000,2018,60000,1,Patna,White,1,Individual,260.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,Creta Sx,7,7–10 yrs,Low to Mid Range,1582,126.0,1,0,0,0,0
38,Mercedes-Benz,M-Class ML 250 CDI,2300000,2014,105101,2,Vadodara,White,1,Individual,500.0,AWD,4804.0,2141.0,1796.0,5.0,70.0,M-Class Ml,11,11–15 yrs,Low to Mid Range,2143,203.0,1,0,0,0,0
39,Toyota,Corolla Altis VL AT Petrol,1095000,2016,45000,2,Mumbai,Black,1,Individual,173.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,Corolla Altis,9,7–10 yrs,Low to Mid Range,1798,138.0,0,0,0,1,0
40,Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,66000,2,Hyderabad,White,1,Individual,380.0,FWD,4701.0,1826.0,1427.0,5.0,63.0,A4 2.0,12,11–15 yrs,Low to Mid Range,1968,177.0,1,0,0,0,0
41,Mercedes-Benz,SLK-Class SLK 200 K,2400000,2010,34105,2,Mumbai,Grey,1,Individual,240.0,RWD,4082.0,1777.0,1297.0,2.0,70.0,Slk-Class Slk,15,11–15 yrs,Low to Mid Range,1796,165.0,0,0,0,1,0
42,Hyundai,Elite i20 Asta 1.2,525000,2015,68397,1,Patna,Gold,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,10,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
43,Mahindra,Thar CRDe 4x4 AC,625000,2015,65000,1,Yamunanagar,White,2,Individual,247.0,AWD,3920.0,1726.0,1930.0,6.0,60.0,Thar Crde,10,7–10 yrs,Low to Mid Range,2498,105.0,1,0,0,0,0
44,Maruti Suzuki,Baleno Delta 1.2,605000,2019,27469,1,Delhi,Silver,1,Individual,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,Baleno Delta,6,4–6 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
45,Maruti Suzuki,Celerio VXi AMT,412000,2016,41058,2,Delhi,Silver,1,Individual,90.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,Celerio Vxi,9,7–10 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
46,Maruti Suzuki,Ciaz VDi SHVS,625000,2016,51330,1,Mumbai,Brown,1,Individual,200.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Vdi,9,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
47,Maruti Suzuki,Ciaz VXi,511000,2015,45969,1,Mumbai,Silver,1,Individual,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Vxi,10,7–10 yrs,Low to Mid Range,1373,91.0,0,0,0,1,0
48,Hyundai,Creta SX Plus 1.6 AT CRDI,1150000,2017,66602,2,Mumbai,Grey,1,Individual,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta Sx,8,7–10 yrs,Low to Mid Range,1582,126.0,1,0,0,0,0
49,Hyundai,Creta SX Plus 1.6  Petrol,885000,2016,57983,1,Mumbai,White,1,Individual,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta Sx,9,7–10 yrs,Low to Mid Range,1591,122.0,0,0,0,1,0
50,Renault,Kwid 1.0 RXT AMT Opt,470000,2019,11183,2,Mumbai,Silver,1,Individual,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,Kwid 1.0,6,4–6 yrs,Low to Mid Range,999,67.0,0,0,0,1,0
51,MG,Hector Sharp 2.0 Diesel [2019-2020],1611000,2019,46301,1,Mumbai,White,1,Individual,350.0,FWD,4655.0,1835.0,1760.0,5.0,60.0,Hector Sharp,6,4–6 yrs,Low to Mid Range,1956,169.0,1,0,0,0,0
52,Tata,Tiago Revotron XZA [2017-2019],475000,2017,34867,2,Mumbai,Silver,2,Individual,114.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,Tiago Revotron,8,7–10 yrs,Low to Mid Range,1199,84.0,0,0,0,1,0
53,Toyota,Innova 2.5 GX BS IV 7 STR,865000,2015,43634,1,Delhi,Silver,1,Individual,200.0,RWD,4585.0,1765.0,1760.0,7.0,55.0,Innova 2.5,10,7–10 yrs,Low to Mid Range,2494,101.0,1,0,0,0,0
54,BMW,X3 xDrive 20d Luxury Line [2018-2020],3800000,2018,9512,2,Mumbai,Blue,1,Corporate,400.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,X3 Xdrive,7,7–10 yrs,Low to Mid Range,1995,190.0,1,0,0,0,0
55,Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,2475000,2020,11293,2,Mumbai,White,1,Individual,350.0,AWD,4395.0,1818.0,1640.0,5.0,60.0,Compass Limited,5,4–6 yrs,Low to Mid Range,1956,171.0,1,0,0,0,0
56,Mahindra,Scorpio SLE BS-IV,400000,2014,78000,1,Gurgaon,White,2,Individual,290.0,RWD,4430.0,1817.0,1975.0,8.0,60.0,Scorpio Sle,11,11–15 yrs,Low to Mid Range,2179,120.0,1,0,0,0,0
57,Honda,Brio S MT,440000,2016,50374,1,Vadodara,White,1,Individual,109.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,Brio S,9,7–10 yrs,Low to Mid Range,1198,87.0,0,0,0,1,0
58,BMW,3-Series 320i Luxury Line,2800000,2017,15900,2,Delhi,White,1,Individual,270.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,3-Series 320I,8,7–10 yrs,Low to Mid Range,1998,181.0,0,0,0,1,0
59,Honda,City V Petrol [2017-2019],645000,2017,64000,1,Mumbai,White,1,Individual,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,City V,8,7–10 yrs,Low to Mid Range,1497,117.0,0,0,0,1,0
60,Volkswagen,Polo Highline1.2L (D),365000,2013,78000,1,Jaipur,Silver,1,Individual,180.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,Polo Highline1.2L,12,11–15 yrs,Low to Mid Range,1199,74.0,1,0,0,0,0
61,Maruti Suzuki,Vitara Brezza ZXi Plus,1044999,2021,24000,1,Mumbai,Silver,1,Individual,138.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,4,4–6 yrs,Low to Mid Range,1462,103.0,0,0,0,1,0
62,Maruti Suzuki,Eeco 7 STR [2019-2020],515000,2019,40310,1,Pune,Grey,2,Individual,101.0,RWD,3675.0,1475.0,1800.0,7.0,40.0,Eeco 7,6,4–6 yrs,Low to Mid Range,1196,73.0,0,0,0,1,0
63,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],455000,2015,69700,2,Mumbai,Blue,1,Individual,112.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,Grand I10,10,7–10 yrs,Low to Mid Range,1197,79.0,0,0,0,1,0
64,BMW,X3 xDrive20d,1800000,2012,74073,2,Hyderabad,Black,1,Individual,380.0,AWD,4648.0,1881.0,1661.0,5.0,67.0,X3 Xdrive20D,13,11–15 yrs,Low to Mid Range,1995,184.0,1,0,0,0,0
65,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3499000,2019,73000,2,Mumbai,White,1,Individual,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,Fortuner 2.8,6,4–6 yrs,Low to Mid Range,2755,174.0,1,0,0,0,0
66,Honda,Civic 1.8S MT,190000,2006,130000,1,Deoghar,Maroon,3,Individual,171.62,FWD,4545.0,1750.0,1450.0,5.0,50.0,Civic 1.8S,19,15+ yrs,Low to Mid Range,1799,130.0,0,0,0,1,0
67,Maruti Suzuki,Swift ZXi Plus AMT,775000,2021,24000,2,Agra,Grey,1,Individual,113.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,Swift Zxi,4,4–6 yrs,Low to Mid Range,1197,89.0,0,0,0,1,0
68,Hyundai,Elite i20 Sportz 1.5 MT Diesel,825000,2021,43000,1,Agra,White,1,Individual,240.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,Elite I20,4,4–6 yrs,Low to Mid Range,1493,99.0,1,0,0,0,0
69,Audi,A3 35 TDI Technology + Sunroof,2250000,2016,40500,2,Goa,White,1,Individual,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,A3 35,9,7–10 yrs,Low to Mid Range,1968,141.0,1,0,0,0,0
70,Honda,City V CVT Petrol [2017-2019],865000,2017,49013,2,Mumbai,Grey,1,Individual,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,City V,8,7–10 yrs,Low to Mid Range,1497,117.0,0,0,0,1,0
71,Ford,Figo Duratorq Diesel Titanium 1.4,299000,2013,64983,1,Mumbai,Red,1,Individual,160.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,Figo Duratorq,12,11–15 yrs,Low to Mid Range,1399,68.0,1,0,0,0,0
72,Honda,Jazz VX Petrol,570000,2017,92270,1,Mumbai,Brown,1,Individual,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,Jazz Vx,8,7–10 yrs,Low to Mid Range,1199,89.0,0,0,0,1,0
73,Volkswagen,Polo Highline1.2L (P),385000,2013,65000,1,Mumbai,White,1,Individual,110.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,Polo Highline1.2L,12,11–15 yrs,Low to Mid Range,1198,74.0,0,0,0,1,0
74,Honda,Amaze 1.5 SX i-DTEC,350000,2014,110000,1,Warangal,Black,1,Individual,200.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,Amaze 1.5,11,11–15 yrs,Low to Mid Range,1498,99.0,1,0,0,0,0
75,Toyota,Camry 2.5L AT,2345000,2017,47000,2,Delhi,Brown,1,Individual,233.0,FWD,4825.0,1825.0,1480.0,5.0,70.0,Camry 2.5L,8,7–10 yrs,Low to Mid Range,2494,179.0,0,0,0,1,0
76,Mahindra,Thar LX 4-STR Hard Top Petrol AT,1650000,2022,10000,2,Jalandhar,Black,1,Individual,320.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,Thar Lx,3,0–3 yrs,Low to Mid Range,1997,150.0,0,0,0,1,0
77,Mercedes-Benz,C-Class 250 CDI Elegance,1100000,2011,51500,2,Hyderabad,Black,2,Individual,500.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,C-Class 250,14,11–15 yrs,Low to Mid Range,2143,207.0,1,0,0,0,0
78,Audi,Q3 35 TDI quattro Premium Plus,2900000,2018,35000,2,Pune,White,1,Individual,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,Q3 35,7,7–10 yrs,Low to Mid Range,1968,184.0,1,0,0,0,0
79,Maruti Suzuki,Baleno Sigma 1.2,545000,2017,61518,1,Noida,Red,1,Individual,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,Baleno Sigma,8,7–10 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
80,BMW,X1 sDrive20d xLine,2990000,2018,34000,2,Delhi,White,1,Corporate,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,X1 Sdrive20D,7,7–10 yrs,Low to Mid Range,1995,184.0,1,0,0,0,0
81,Maruti Suzuki,Baleno Zeta 1.2,615000,2017,36058,1,Mumbai,Silver,1,Individual,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,Baleno Zeta,8,7–10 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
82,Hyundai,Creta 1.6 SX Plus AT,890000,2016,88000,2,Ahmedabad,Silver,1,Individual,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta 1.6,9,7–10 yrs,Low to Mid Range,1582,126.0,1,0,0,0,0
83,Volkswagen,Vento Comfortline Petrol,430000,2015,98112,1,Mumbai,Brown,1,Individual,153.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,Vento Comfortline,10,7–10 yrs,Low to Mid Range,1598,103.0,0,0,0,1,0
84,Mercedes-Benz,C-Class 220 BlueEfficiency,1650000,2013,58000,2,Bangalore,Silver,1,Individual,400.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,C-Class 220,12,11–15 yrs,Low to Mid Range,2143,170.0,1,0,0,0,0
85,Toyota,Camry Hybrid,1599000,2015,92355,2,Mumbai,Silver,1,Individual,270.0,FWD,4825.0,1825.0,1480.0,5.0,65.0,Camry Hybrid,10,7–10 yrs,Low to Mid Range,2494,202.0,0,0,0,1,0
86,Maruti Suzuki,DZire VXi,691000,2019,16652,1,Ahmedabad,White,1,Individual,113.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,Dzire Vxi,6,4–6 yrs,Low to Mid Range,1197,89.0,0,0,0,1,0
87,Nissan,Terrano XV D THP 110 PS,650000,2016,76584,1,Mumbai,White,1,Individual,248.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,Terrano Xv,9,7–10 yrs,Low to Mid Range,1461,108.0,1,0,0,0,0
88,Maruti Suzuki,Wagon R LXI CNG,415000,2015,42500,1,Mumbai,Brown,1,Individual,77.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,Wagon R,10,7–10 yrs,Low to Mid Range,998,58.0,0,0,0,0,0
89,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],669000,2016,70000,1,Mohali,Grey,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,9,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
90,Porsche,Cayenne Coupe Platinum Edition,16200000,2022,2766,2,Mumbai,Blue,1,Individual,450.0,AWD,4931.0,1983.0,1676.0,4.0,75.0,Cayenne Coupe,3,0–3 yrs,Luxury,2995,335.0,0,0,0,1,0
91,Mercedes-Benz,C-Class Cabriolet C 300,5100000,2017,56000,2,Ghaziabad,White,2,Individual,370.0,RWD,4686.0,1810.0,1409.0,4.0,59.0,C-Class Cabriolet,8,7–10 yrs,High Range,1991,241.0,0,0,0,1,0
92,Hyundai,Elite i20 Magna 1.2,525000,2015,68766,1,Mumbai,Silver,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,10,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
93,Hyundai,Verna 1.6 VTVT SX,750000,2018,16339,1,Kolkata,Black,1,Individual,158.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,Verna 1.6,7,7–10 yrs,Low to Mid Range,1591,121.0,0,0,0,1,0
94,Honda,Amaze 1.2 SX i-VTEC,445000,2016,63882,1,Mumbai,Bronze,1,Individual,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,Amaze 1.2,9,7–10 yrs,Low to Mid Range,1198,87.0,0,0,0,1,0
95,Toyota,Corolla Altis 1.8 G,493000,2012,28732,1,Zirakpur,Silver,1,Individual,173.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,Corolla Altis,13,11–15 yrs,Low to Mid Range,1798,138.0,0,0,0,1,0
96,Hyundai,Elite i20 Sportz 1.2 (O),611000,2017,51349,1,Nagpur,Red,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,8,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
97,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],475000,2014,61866,2,Thane,White,1,Individual,112.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,Grand I10,11,11–15 yrs,Low to Mid Range,1197,79.0,0,0,0,1,0
98,Hyundai,Creta SX Plus 1.6  Petrol,925000,2017,29401,1,Mumbai,Grey,1,Individual,154.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,Creta Sx,8,7–10 yrs,Low to Mid Range,1591,122.0,0,0,0,1,0
99,Audi,A6 2.0 TDI Premium,1325000,2012,98580,2,Goa,White,1,Individual,380.0,FWD,4915.0,1874.0,1455.0,5.0,65.0,A6 2.0,13,11–15 yrs,Low to Mid Range,1968,177.0,1,0,0,0,0
100,BMW,X1 sDrive20d xLine,3900000,2021,8000,2,Delhi,Black,1,Individual,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,X1 Sdrive20D,4,4–6 yrs,Low to Mid Range,1995,184.0,1,0,0,0,0
101,Mahindra,XUV300 W8 (O) 1.5 Diesel,1299000,2020,31348,1,Bangalore,White,1,Individual,300.0,FWD,3995.0,1821.0,1627.0,5.0,42.0,Xuv300 W8,5,4–6 yrs,Low to Mid Range,1497,115.0,1,0,0,0,0
102,Maruti Suzuki,Swift ZDi Plus,580000,2018,28851,1,Kolkata,Blue,1,Corporate,190.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,Swift Zdi,7,7–10 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
103,Mahindra,Thar LX 4-STR Hard Top Petrol MT,1575000,2021,8519,1,Mumbai,Blue,1,Individual,300.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,Thar Lx,4,4–6 yrs,Low to Mid Range,1997,150.0,0,0,0,1,0
104,Honda,City 1.5 S MT,375000,2011,78000,1,Pune,Bronze,1,Individual,146.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,City 1.5,14,11–15 yrs,Low to Mid Range,1497,118.0,0,0,0,1,0
105,Mercedes-Benz,E-Class E 250 CDI Avantgarde,2250000,2015,48000,2,Mumbai,White,1,Individual,500.0,RWD,4879.0,1854.0,1474.0,5.0,80.0,E-Class E,10,7–10 yrs,Low to Mid Range,2143,204.0,1,0,0,0,0
106,Toyota,Fortuner 3.0 4x2 AT,1400000,2014,143000,2,Faridabad,White,2,Individual,360.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,Fortuner 3.0,11,11–15 yrs,Low to Mid Range,2982,169.0,1,0,0,0,0
107,Tata,Zest XM 75 PS Diesel,425000,2017,39000,1,Ranchi,Silver,1,Commercial Registration,190.0,FWD,3995.0,1706.0,1570.0,5.0,44.0,Zest Xm,8,7–10 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
